"Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","No."
"1","100nF","C1","C1206","100nF","CGA1206X7R104K201MT","HRE(芯声)","C54740182","LCSC","1"
"1","470nF","C2","C0805","470nF","CC0805KKX7R0BB474","YAGEO(国巨)","C596323","LCSC","2"
"2","560uF","C3,C4","CAP-SMD_BD10.0-L10.3-W10.3-FD-1","560uF","HV1V567M1010PZ","HONOR(荣誉)","C42436716","LCSC","3"
"2","47uF","C5,C6","CAP-SMD_L7.3-W4.3-RD","47uF","CA55-D035M476T","湘怡中元/湘江","C2761440","LCSC","4"
"1","22uF","C7","CAP-SMD_L6.1-W5.3-L","22uF","KCM55QR7YA226KH01L","muRata(村田)","C2180024","LCSC","5"
"1","2.2uF","C8","C0603","2.2uF","CC0603KRX7R7BB225","YAGEO(国巨)","C914769","LCSC","6"
"1","100nF","C9","C0402","100nF","CC0402KRX7R7BB104","YAGEO(国巨)","C60474","LCSC","7"
"5","100nF","C10,C11,C18,C20,C24","C0603","100nF","CL10B104KB8NNNC","SAMSUNG(三星)","C1591","LCSC","8"
"4","22uF","C12,C13,C14,C15","C1206","22uF","HGC1206R7226K160NSPJ","Chinocera(华瓷)","C7472972","LCSC","9"
"2","22uF","C16,C17","C0805","22uF","GRM21BZ71A226ME15L","muRata(村田)","C907991","LCSC","10"
"1","100nF","C19","C0201","100nF","GRM033C71C104KE14D","muRata(村田)","C85923","LCSC","11"
"3","4.7uF","C21,C27,C28","C0603","4.7uF","GRM188Z71C475KE21D","muRata(村田)","C389010","LCSC","12"
"2","10uF","C22,C23","C0805","10uF","CL21B106KOQNNNE","SAMSUNG(三星)","C95841","LCSC","13"
"1","2.2nF","C25","C0402","2.2nF","GRM1555C1H222GA01D","muRata(村田)","C2987940","LCSC","14"
"1","3.3pF","C26","C0402","3.3pF","GJM1555C1H3R3BB01D","muRata(村田)","C76906","LCSC","15"
"1","WJ2EDGRC-5.08-02P-14-00A","CN1","CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P","","WJ2EDGRC-5.08-02P-14-00A","KANGNEX(康奈克斯电气)","C3697","LCSC","16"
"1","SMDJ43A","D1","SMC_L6.9-W5.9-LS8.0-RD","","SMDJ43A","TWGMC(迪嘉)","C4154730","LCSC","17"
"1","ESD5Z5.0T1G","D2","SOD-523F_L1.2-W0.8-LS1.7-RD","","ESD5Z5.0T1G","onsemi(安森美)","C82044","LCSC","18"
"1","ESD5Z3.3T1G","D3","SOD-523F_L1.2-W0.8-LS1.7-RD","","ESD5Z3.3T1G","onsemi(安森美)","C61148","LCSC","19"
"1","500nH","L1","IND-SMD_L4.0-W4.0_FNR4012S","500nH","CR4015-R50N","ceaiya(柯爱亚)","C39673510","LCSC","20"
"1","2.2uH","L2","IND-SMD_L7.2-W6.6_GPSR07X0","2.2uH","CYA0650-2.2UH","SHOU HAN(首韩)","C5189752","LCSC","21"
"1","IRF540NSTRLPBF","Q1","TO-263-2_L10.0-W9.1-P5.08-LS15.2-TL","","IRF540NSTRLPBF","Infineon(英飞凌)","C23982","LCSC","22"
"1","YJQ40G10A","Q2","DFN-8_L3.3-W3.3-P0.65-BL-1","","YJQ40G10A","YANGJIE(扬杰)","C919608","LCSC","23"
"2","BSS123","Q3,Q4","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","BSS123","onsemi(安森美)","C513249","LCSC","24"
"1","10mΩ","R1","RES-SMD_L6.4-W3.2-R2512","10mΩ","FPM253WFR010TM","FOJAN(富捷)","C7420020","LCSC","25"
"2","220Ω","R2,R14","R0805","220Ω","0805W8F2200T5E","UNI-ROYAL(厚声)","C17557","LCSC","26"
"1","105kΩ","R3","R0402","105kΩ","ARG02BTC1053","Viking(光颉)","C2984407","LCSC","27"
"3","100kΩ","R4,R5,R7","R0402","100kΩ","RC0402FR-07100KL","YAGEO(国巨)","C60491","LCSC","28"
"1","249kΩ","R6","R0402","249kΩ","ARG02BTC2493","Viking(光颉)","C2984416","LCSC","29"
"1","5.1kΩ","R8","R0402","5.1kΩ","RT0402BRD075K1L","YAGEO(国巨)","C852856","LCSC","30"
"1","86.6kΩ","R9","R0402","86.6kΩ","RT0402BRD0786K6L","YAGEO(国巨)","C852935","LCSC","31"
"9","10kΩ","R10,R13,R15,R16,R17,R18,R22,R23,R24","R0402","10kΩ","RC0402FR-0710KL","YAGEO(国巨)","C60490","LCSC","32"
"2","4.7kΩ","R11,R12","R0402","4.7kΩ","RC0402FR-074K7L","YAGEO(国巨)","C105871","LCSC","33"
"1","510kΩ","R19","R0402","510kΩ","RE0402BRE07510KL","YAGEO(国巨)","C19269947","LCSC","34"
"1","162kΩ","R20","R0402","162kΩ","RT0402BRD07162KL","YAGEO(国巨)","C852551","LCSC","35"
"1","78.7kΩ","R21","R0402","78.7kΩ","RT0402BRD0778K7L","YAGEO(国巨)","C852915","LCSC","36"
"1","LTC4364IS-2#PBF","U1","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL-1","","LTC4364IS-2#PBF","ADI(亚德诺)","C688309","LCSC","37"
"4","SMTSO30100CTJ","U2,U3,U4,U5","SCREW-SMD_BD5.6-D4.1-H10","","SMTSO30100CTJ","Sinhoo(雄和远景)","C2916370","LCSC","38"
"1","PM254-2-03-Z-8.5","U6","HDR-TH_6P-P2.54-V-F-R2-C3-S2.54","","PM254-2-03-Z-8.5","HCTL(华灿天禄)","C2897404","LCSC","39"
"1","2.54-2*5","U7","HDR-TH_10P-P2.54-V-F-R2-C5-S2.54","","2.54-2*5","ZHOURI(洲日)","C2977587","LCSC","40"
"1","INA238AIDGSR","U8","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL","","INA238AIDGSR","TI(德州仪器)","C2868250","LCSC","41"
"1","TLV62085RLTR","U9","VSON-7_L2.0-W2.0-P0.5-TL","","TLV62085RLTR","TI(德州仪器)","C477932","LCSC","42"
"1","MAX25239AFFA/VY+","U10","FC2QFN-20_L4.3-W4.3-P0.40-TL_MAX25240AFFD-VY","","MAX25239AFFA/VY+","MAXIM","C5374756","LCSC","43"
