"Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Note","No."
"1","ATtiny1614 - 16K flash, UPDI","U2","SOIC-14","","ATtiny1614-SSNR","202 has only 2K; the OLED driver will not fit. See README","1"
"1","5V LDO, LOW Iq - not a 78L05","U1","SOT-89-3","5V","MCP1703A-5002E/CB","2uA Iq. Quiescent heat biases the on-board sensor","2"
"1","NTC thermistor 10k B=3950","R1","R0805","10k","NTCG103JF103FT1","THERMAL SLOT around this part - see README","3"
"1","Divider leg, 1% - sets the thresholds","R2","R0805","10k","","1% matters here, 5% does not","4"
"1","Base drive","R3","R0805","470R","","(5-0.7)/470 = 9.1 mA, forced beta 11","5"
"1","Base pull-up - THE FAIL-SAFE","R4","R0805","1k","","floating pin must RUN the fan, not stop it","6"
"1","LED series","R5","R0805","2k2","","","7"
"1","NPN, low-side fan switch","Q1","SOT-23-3","","SS8050","marking J3Y. NOT a 2N7002 - see ../2N7002 Driver","8"
"1","Status LED","LED1","LED0805","","","","9"
"2","Decoupling","C1,C2","C0805","1uF","","one at U1 in, one at U1 out","10"
"1","MCU decoupling","C3","C0805","100nF","","at U2 VDD","11"
"1","Screw terminal, 12V in","J1","TERM-2P-5.08","","","","12"
"1","Screw terminal, fan out","J2","TERM-2P-5.08","","","","13"
"1","UPDI / ISP programming header","J3","HDR-TH_3P-P2.54","","","3P for UPDI, 6P if fitting an ATtiny85","14"
"1","Thermal switch, 60C normally-OPEN","TS1","off-board, across Q1","","KSD9700 60C NO","covers loss of MCU power - see README","15"
"1","OLED 0.96in 128x64 I2C - ON A TAIL, not on the board","DISP1","module, 4-wire","","SSD1306","front panel. Its 15 mA next to the NTC would defeat the sleep design","16"
"1","Momentary button - wakes the display","SW1","SW-TH_4P-L6.0-W6.0","","","to GND, internal pull-up","17"
"2","I2C pull-ups","R6,R7","R0805","4k7","","only if the OLED module does not already fit them - most do","18"
"1","4-way header for the display tail","J4","HDR-TH_4P-P2.54","","","SDA SCL 5V GND","19"
"1","Setpoint pot - RHEOSTAT: R8 to pin 3, tie wiper(2) to pin 1","RV1","ALPS RK09K 9mm vertical, 3x1mm on 10.6x7","10k lin 1B","RK09K11300DR","+/-20% moves only the LOW end. Open wiper -> lowest setpoint, fan earliest","20"
"1","Pot span top - sets the upper end","R8","R0805","6k8","","with R9 gives 556-763 counts, ~29-51 C","21"
"1","Pot span bottom - AND makes a broken LEAD detectable","R9","R0805","20k","","open wiper is handled by the rheostat wiring, not by these","22"
