"Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","No."
"1","100nF","C1","C0805","100nF","CC0805KRX7R9BB104","YAGEO(国巨)","C49678","LCSC","1"
"1","10uF","C2","C0805","10uF","CL21B106KOQNNNE","SAMSUNG(三星)","C95841","LCSC","2"
"1","1N4148W-7-F","D1","SOD-123_L2.7-W1.6-LS3.7-RD-1","","1N4148W-7-F","DIODES(美台)","C83528","LCSC","3"
"1","PZ254V-11-03P","H1","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","","PZ254V-11-03P","XFCN(兴飞)","C2937625","LCSC","4"
"1","LAIL-PZ2.54-8P-L","H2","CONN-TH_LAIL-PZ2.54-8P-L","","LAIL-PZ2.54-8P-L","LAILAN(莱联)","C54950609","LCSC","5"
"1","AO3400A","Q1","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","AO3400A","AOS","C20917","LCSC","6"
"1","220Ω","R1","R0805","220Ω","0805W8F2200T5E","UNI-ROYAL(厚声)","C17557","LCSC","7"
"2","10kΩ","R2,R4","R0805","10kΩ","FRC0805F1002TS","FOJAN(富捷)","C2907219","LCSC","8"
"1","KNTC0805/10KF3950","R3","R0805","","KNTC0805/10KF3950","KUU","C2892549","LCSC","9"
"1","10kΩ","R5","RES-TH_RK09K113004U","10kΩ","RK09K11300DR","ALPSALPINE(阿尔卑斯阿尔派)","C3020615","LCSC","10"
"1","6.8kΩ","R6","R0805","6.8kΩ","FRC0805F6801TS","FOJAN(富捷)","C2907276","LCSC","11"
"1","20kΩ","R7","R0805","20kΩ","FRC0805F2002TS","FOJAN(富捷)","C2907240","LCSC","12"
"3","Screw-Hole-M2","SCREW1,SCREW2,SCREW3","Screw-Hole-M2","","","","","","13"
"1","ATTINY1614-SSN","U1","SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","","ATTINY1614-SSN","MICROCHIP(美国微芯)","C614832","LCSC","14"
