"Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","No."
"1","MCU. Pulse timing, debounce, fail-safe off at boot, brown-out interlock, state sense. UDFN-8 is 12mm2, SOIC-8 is 30","U1","UDFN-8_L3.0-W3.0-P0.65-BL-EP","","ATTINY202-MFR","Microchip","","LCSC","1"
"2","N-ch low side, one per coil. Dual-coil population. AO3400A: 30V 5.7A, gate drive from 5V logic","Q1,Q3","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","AO3400A","Alpha & Omega","","LCSC","2"
"2","Coil flyback, ON BOARD across the coil header so the kick is clamped at the connector","D1,D2","SOD-123_L2.8-W1.8-LS3.7-RD","","1N4148W","JSMSEMI","","LCSC","3"
"2","220Ohm gate series. C17557 is the 0805 part - re-pick for 0402","R1,R3","R0402","220Ohm","","","","LCSC","4"
"2","10kOhm gate pull-down. Holds both legs safe while the MCU is in reset or unpowered","R2,R4","R0402","10kOhm","","","","LCSC","5"
"2","100kOhm / 33kOhm divider from the relay's spare pole to the state-sense input","R5,R6","R0402","","","","","LCSC","6"
"1","100nF MCU decoupling, at the VDD pin","C1","C0402","100nF","","","","LCSC","7"
"1","220uF bulk at the coil header. The 5V module sources the pulse; this stops the rail dipping","C2","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD","220uF","","","","LCSC","8"
"1","+5V and GND in, from the always-on 5V module","H1","HDR-TH_2P-P2.54-V-M","","PZ254V-11-02P","XFCN(兴飞)","C492401","LCSC","9"
"1","Button, remote. Switch contacts to GND; debounce is in firmware","H2","HDR-TH_2P-P2.54-V-M","","PZ254V-11-02P","XFCN(兴飞)","C492401","LCSC","10"
"1","Relay coil: A / +5V / C. Dual-coil = coil1 A-B and coil2 B-C. Single-coil = coil A-C, B unused","H3","HDR-TH_3P-P2.54-V-M","","","","","LCSC","11"
"1","UPDI programming + state sense + ECU line breakout","H4","HDR-TH_3P-P2.54-V-M","","","","","LCSC","12"
"2","Screw-Hole-M2","SCREW1,SCREW2","Screw-Hole-M2","","","","","","13"
